支付宝交易记录明细查询
账号:[138****8888]
起始日期:[2026-09-01 00:00:00]    终止日期:[2026-09-30 23:59:59]
---------------------------------交易记录明细列表------------------------------------
交易时间,交易分类,交易对方,对方账号,商品说明,收/支,金额,收/付款方式,交易状态,交易订单号,商家订单号,备注
2026-09-01 08:20:11,交通出行,滴滴出行,,快车-上班,支出,23.00,余额宝,交易成功,2026090122001001,M1001,
2026-09-01 12:15:30,餐饮美食,肯德基,,KFC午餐,支出,35.00,余额宝,交易成功,2026090122001002,M1002,
2026-09-01 19:40:02,日用百货,永辉超市,,日用采购,支出,86.50,花呗,交易成功,2026090122001003,M1003,
2026-09-02 09:05:00,生活服务,国家电网,,8月电费,支出,128.40,余额,交易成功,2026090222001004,M1004,
2026-09-02 21:10:45,购物,淘宝商城,,退款-运动鞋,收入,199.00,余额,退款成功,2026090222001005,M1005,
2026-09-03 12:40:00,转账,张三,,朋友还款,不计收支,300.00,余额,交易成功,2026090322001006,M1006,
2026-09-03 18:22:09,餐饮美食,美团外卖,,麻辣烫,支出,26.80,余额宝,交易成功,2026090322001007,M1007,
2026-09-05 10:00:00,收入,某某科技有限公司,,9月工资,收入,8500.00,余额,交易成功,2026090522001008,M1008,
2026-09-05 14:30:00,住房物业,某某物业,,9月物业费,支出,180.00,余额,交易成功,2026090522001009,M1009,
2026-09-07 20:15:33,交通出行,中国石化,,加油,支出,300.00,信用卡,交易成功,2026090722001010,M1010,
2026-09-08 11:00:00,购物,某某旗舰店,,已关闭订单,支出,59.00,余额,交易关闭,2026090822001011,M1011,
2026-09-09 08:55:00,医疗健康,某某大药房,,感冒药,支出,42.60,余额宝,交易成功,2026090922001012,M1012,
共12笔记录
